movie_name,evaluate,describe,introduce,serial_number,star
聚焦,147888人评价,新闻人的理性求真。,2015/美国/剧情传记,231,8.8
血钻,155354人评价,每个美丽事物背后都是滴血的现实。,2006/美国德国/剧情惊悚冒险,232,8.5
荒野生存,143003人评价,出门必备：本草纲目。,2007/美国/冒险传记剧情,233,8.6
国王的演讲,381742人评价,皇上无话儿。,2010/英国澳大利亚美国/剧情传记历史,234,8.3
非常嫌疑犯,135293人评价,我不信仰上帝，但我敬畏上帝。,1995/德国美国/剧情犯罪悬疑惊悚,235,8.6
英国病人,190748人评价,"In memory, love lives forever...",1996/美国英国/爱情剧情战争,236,8.5
迁徙的鸟,56123人评价,最美的飞翔。,2001/法国德国意大利西班牙瑞士/纪录片,237,9.1
黑鹰坠落,136095人评价,还原真实而残酷的战争。,2001/美国/动作历史战争,238,8.6
我爱你,68022人评价,你要相信，这世上真的有爱存在，不管在什么年纪 ,2011/韩国/剧情爱情,239,9.0
遗愿清单,151514人评价,用剩余不多的时间，去燃烧整个生命。,2007/美国/冒险喜剧剧情,240,8.5
勇士,96307人评价,热血沸腾，相当完美的娱乐拳击大餐。,2011/美国/剧情运动家庭,241,8.9
荒岛余生,155614人评价,一个人的独角戏。,2000/美国/冒险剧情,242,8.5
2001太空漫游,111219人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968/英国美国/科幻惊悚冒险,243,8.7
枪火,113147人评价,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,1999/香港/剧情动作犯罪,244,8.7
燕尾蝶,115474人评价,现实与童话交相辉映的旅程。,1996/日本/犯罪剧情,245,8.6
叫我第一名,120197人评价,乐观比一切都有力量。,2008/美国/剧情传记,246,8.6
穆赫兰道,260436人评价,大卫·林奇的梦境迷宫。,2001/法国美国/剧情悬疑惊悚,247,8.3
千钧一发,100335人评价,一部能引人思考的科幻励志片。,1997/美国/剧情科幻惊悚,248,8.7
上帝也疯狂,105844人评价,纯净原始的笑与感动。,1980/博茨瓦纳南非/喜剧,249,8.7
